bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
1-00420-0046,2009,LOWER EAST SIDE,C6-WALK-UP,20,1915,12000,264000,22,NA,NA,NA,746000,62,1-00409-0027,LOWER EAST SIDE,C7-WALK-UP,24,1920,12348,218181,17.67,NA,NA,NA,887000,72,0.15,1-00414-0018,LOWER EAST SIDE,C7-WALK-UP,20,1900,11543,318822,27.6,NA,NA,NA,1540000,133,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,46,1,10002,20,0,5,1,0,0,5,0
1-00420-0046,2011,LOWER EAST SIDE,C6-WALK-UP,20,1915,12000,306000,25.5,NA,NA,NA,649000,54,1-00420-0043,LOWER EAST SIDE,C4-WALK-UP,24,1910,10675,329000,30.8,NA,NA,NA,1530000,143,0,1-00280-0009,CHINATOWN,C4-WALK-UP,22,1900,10415,222000,21.32,NA,NA,NA,920000,88,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,46,1,10002,20,0,5,1,0,0,5,0
1-00474-0029,2009,SOHO,D0-ELEVATOR,28,1900,70759,2403683,34,NA,NA,NA,12100000,171,1-00879-0017,GRAMERCY,D9-ELEVATOR,67,1925,56670,2011078,35.5,NA,NA,NA,10100000,178,1.5,1-00850-0064,FLATIRON,D5-ELEVATOR,87,1911,78646,2552000,32.4,NA,NA,NA,12400000,158,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,29,1,10013,25,5600,13,2,3600,42,11,13
1-00474-0029,2011,SOHO,D0-ELEVATOR,28,1900,70759,2830360,40,NA,NA,NA,13900000,196,1-00495-0033,LITTLE ITALY,D9-ELEVATOR,62,1999,67300,2809478,41.7,NA,NA,NA,13800000,205,0.25,1-00494-0015,LITTLE ITALY,D7-ELEVATOR,41,1900,45990,2107819,45.8,NA,NA,NA,10300000,224,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,29,1,10013,25,5600,13,2,3600,42,11,13
1-00474-0029,2012,SOHO,D0-ELEVATOR,28,1900,70759,3033438,42.87,737309,10.42,2296130,17319000,244.76,1-00411-0058,LOWER EAST SIDE,D5-ELEVATOR,25,1910,30870,1417275,45.91,285857,9.26,1131420,8509000,275.64,0.68,1-00469-0030,EAST VILLAGE,D9-ELEVATOR,75,1925,63158,2515280,39.83,730891,11.57,1784390,13488000,213.56,1.05,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,474,29,1,10013,25,5600,13,2,3600,42,11,13
1-00518-0032,2009,SOHO,C6-WALK-UP,41,1900,20190,756115,37.4,NA,NA,NA,3800000,188,1-00503-0012,SOHO,C7-WALK-UP,21,1900,10170,418139,41.1,NA,NA,NA,2100000,206,0.1,1-00488-0010,SOHO,C7-WALK-UP,36,1910,19002,641909,33.8,NA,NA,NA,3110000,164,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,32,1,10012,39,1345,6,2,450,5,4,4
1-00518-0032,2011,SOHO,C6-WALK-UP,41,1900,20190,847980,42,NA,NA,NA,4160000,206,1-00503-0006,SOHO,C7-WALK-UP,41,1900,22517,947008,42.1,NA,NA,NA,4650000,207,0.1,1-00503-0026,SOHO,C7-WALK-UP,24,1900,11070,539084,48.7,NA,NA,NA,2650000,239,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,32,1,10012,39,1345,6,2,450,5,4,4
1-00518-0032,2012,SOHO,C6-WALK-UP,41,1900,20190,728051,36.06,168183,8.33,559868,4130000,204.56,1-00518-0010,SOHO,C7-WALK-UP,34,1900,20901,851907,40.76,150805,7.22,701102,5296000,253.39,0,1-00518-0034,SOHO,C7-WALK-UP,20,1900,10606,332649,31.36,100091,9.44,232558,1736000,163.68,0,NA, , , ,0,0,0,0,0,0,0,0,0,0,0,518,32,1,10012,39,1345,6,2,450,5,4,4
1-00521-0071,2009,GREENWICH VILLAGE-CENTRAL,D0-ELEVATOR,25,1900,40607,935991,23.05,NA,NA,NA,4180000,103,1-00573-0019,GREENWICH VILLAGE-CENTRAL,D7-ELEVATOR,47,1917,39782,1013516,25.5,NA,NA,NA,4530000,114,0.65,1-00792-0020,CHELSEA,D6-ELEVATOR,44,1918,39504,815000,20.63,NA,NA,NA,3640000,92,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,71,1,10012,22,2835,7,2,-25,20,4,2
1-00521-0071,2011,GREENWICH VILLAGE-CENTRAL,D0-ELEVATOR,25,1900,40607,1421245,35,NA,NA,NA,6620000,163,1-00558-0044,GREENWICH VILLAGE-CENTRAL,D5-ELEVATOR,69,1900,41750,2120000,51,NA,NA,NA,10400000,249,0.55,1-00643-0027,GREENWICH VILLAGE-WEST,D5-ELEVATOR,53,1925,44900,2065000,46,NA,NA,NA,10100000,225,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,71,1,10012,22,2835,7,2,-25,20,4,2
