bbl,tax_year,neighborhood,building_classification,total_units,year_built,gross_sqft,est_gross_income,gross_income_per_sqft,est_expense,expense_per_sqft,net_operating_income,full_market_value,market_value_per_sqft,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_total_units,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,comparable_rental_1_est_gross_income,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_expense,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_full_market_value,comparable_rental_1_market_value_per_sqft,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_boro_block_lot,comparable_rental_2_neighborhood,comparable_rental_2_building_classification,comparable_rental_2_total_units,comparable_rental_2_year_built,comparable_rental_2_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_gross_income_per_sqft,comparable_rental_2_est_expense,comparable_rental_2_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_3_boro_block_lot,comparable_rental_3_address,comparable_rental_3_neighborhood,comparable_rental_3_building_classification,comparable_rental_3_total_units,comparable_rental_3_year_built,comparable_rental_3_gross_sqft,comparable_rental_3_est_gross_income,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_est_expense,comparable_rental_3_expense_per_sqft,comparable_rental_3_net_operating_income,comparable_rental_3_full_market_value,comparable_rental_3_market_value_per_sqft,comparable_rental_3_dist_from_coop_in_miles,block,lot,BoroCode,Zip,UnitsRes,ComArea,NumFloors,SchoolDist,outstanding_fines,FDNY_issues,SANITATION_issues,DOB_issues
3-03077-0001,2011,WILLIAMSBURG-EAST,D4-ELEVATOR,772,1965,751412,9518365,12.67,NA,NA,NA,26700000,35.5,3-04967-0040,FLATBUSH-EAST,D1-ELEVATOR,504,1950,388800,5175642,13.31,NA,NA,NA,16100000,41.4,4.5,3-04964-0040,FLATBUSH-EAST,D1-ELEVATOR,504,1950,388800,5320766,13.69,NA,NA,NA,16600000,42.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3077,1,3,11206,772,0,21,14,3684,25,0,25
3-03077-0001,2012,WILLIAMSBURG-EAST,D4-ELEVATOR,772,1965,751412,10715135,14.26,6537280,8.7,4177850,28953000,38.53,3-02186-0001,WILLIAMSBURG-CENTRAL,D3-ELEVATOR,647,1975,748308,10098934,13.5,5514180,7.37,4584760,30355000,40.56,0.81,3-01588-0001,BEDFORD STUYVESANT,D6-ELEVATOR,272,1976,290715,4145596,14.26,2238510,7.7,1907090,12457000,42.85,0.75,3-01785-0020,"{""address"":""210 KOSCIUSZKO STREET"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",BEDFORD STUYVESANT,D1-ELEVATOR,101,1974,104,1,14.91,828,7.9,735,3,35.46,0.94,3077,1,3,11206,772,0,21,14,3684,25,0,25
3-03349-0001,2009,BUSHWICK,C6-WALK-UP,14,1931,7500,69225,9.23,NA,NA,NA,196000,26.1,3-03333-0017,BUSHWICK,C1-WALK-UP,35,1931,27252,255623,9.38,NA,NA,NA,843000,30.9,0.3,3-03243-0032,BUSHWICK,C1-WALK-UP,20,1931,14800,167388,11.31,NA,NA,NA,590000,39.9,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3349,1,3,11221,14,0,4,32,-25,0,3,0
3-03349-0001,2010,BUSHWICK,C6-WALK-UP,14,1931,7500,71302,9.51,NA,NA,NA,197000,26.3,3-03395-0006,BUSHWICK,C1-WALK-UP,20,1916,17800,168053,9.44,NA,NA,NA,479000,26.9,0.3,3-03412-0018,BUSHWICK,C1-WALK-UP,16,1905,14080,113000,8.03,NA,NA,NA,292000,20.74,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3349,1,3,11221,14,0,4,32,-25,0,3,0
3-03349-0001,2011,BUSHWICK,C6-WALK-UP,14,1931,7500,149475,19.93,NA,NA,NA,559000,75,3-03395-0006,BUSHWICK,C1-WALK-UP,20,1916,17800,185337,10.41,NA,NA,NA,480000,27,0.3,3-03412-0018,BUSHWICK,C1-WALK-UP,16,1905,14080,147110,10.45,NA,NA,NA,381000,27.1,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3349,1,3,11221,14,0,4,32,-25,0,3,0
3-03633-0001,2009,BROWNSVILLE,D4-ELEVATOR,342,1962,398223,4639297,11.65,NA,NA,NA,13100000,32.9,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,216053,10,NA,NA,NA,730000,33.8,2.1,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,330592,6.93,NA,NA,NA,1010000,21.18,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3633,1,3,11212,342,0,17,23,12386,35,2,21
3-03633-0001,2010,BROWNSVILLE,D4-ELEVATOR,342,1962,398223,2642300,6.64,NA,NA,NA,6190000,15.54,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,222128,10.28,NA,NA,NA,690000,31.9,2.1,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,267708,5.61,NA,NA,NA,627000,13.15,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3633,1,3,11212,342,0,17,23,12386,35,2,21
3-03633-0001,2011,BROWNSVILLE,D4-ELEVATOR,342,1962,398223,2740558,6.88,NA,NA,NA,5810000,14.59,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,244433,11.32,NA,NA,NA,634000,29.4,2.1,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,487624,10.23,NA,NA,NA,1160000,24.33,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3633,1,3,11212,342,0,17,23,12386,35,2,21
3-03633-0001,2012,BROWNSVILLE,D4-ELEVATOR,342,1962,398223,2906010,7.3,1888910,4.74,1017100,6033000,15.15,3-03628-0001,BROWNSVILLE,D1-ELEVATOR,385,1969,245538,4837839,19.7,3326610,13.55,1511230,10635000,43.31,0.29,3-03769-0001,EAST NEW YORK,D3-ELEVATOR,195,1975,180000,3060111,17,1681170,9.34,1378940,6720000,37.33,1.1,3-03737-0001,"{""address"":""2060 PITKIN AVENUE"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",EAST NEW YORK,D3-ELEVATOR,405,1972,165,2,17.11,1,8.81,1,8,53.21,1.3,3633,1,3,11212,342,0,17,23,12386,35,2,21
3-03634-0001,2009,BROWNSVILLE,D4-ELEVATOR,423,1958,445950,4517474,10.13,NA,NA,NA,12800000,28.7,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,216053,10,NA,NA,NA,730000,33.8,2.15,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,330592,6.93,NA,NA,NA,1010000,21.18,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634,1,3,11212,423,38900,14,23,450,20,0,32
3-03634-0001,2010,BROWNSVILLE,D4-ELEVATOR,423,1958,445950,4652998,10.43,NA,NA,NA,14500000,32.5,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,222128,10.28,NA,NA,NA,690000,31.9,2.15,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,267708,5.61,NA,NA,NA,627000,13.15,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634,1,3,11212,423,38900,14,23,450,20,0,32
3-03634-0001,2011,BROWNSVILLE,D4-ELEVATOR,423,1958,445950,4792588,10.75,NA,NA,NA,12400000,27.8,3-04902-0047,FLATBUSH-EAST,C1-WALK-UP,27,1928,21600,244433,11.32,NA,NA,NA,634000,29.4,2.15,3-04917-0006,FLATBUSH-EAST,C7-WALK-UP,63,1926,47680,487624,10.23,NA,NA,NA,1160000,24.33,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634,1,3,11212,423,38900,14,23,450,20,0,32
3-03634-0001,2012,BROWNSVILLE,D4-ELEVATOR,423,1958,445950,4673556,10.48,3081520,6.91,1592040,9892000,22.18,3-03590-0011,BROWNSVILLE,D9-ELEVATOR,264,1975,298933,3554466,11.89,2345730,7.85,1208730,7713000,25.8,0.45,3-03590-0050,BROWNSVILLE,D3-ELEVATOR,260,1976,214948,6586864,30.64,5203620,24.21,1383240,10340000,48.1,0.45,NA,NA, , ,0,0,0,0,0,0,0,0,0,0,0,3634,1,3,11212,423,38900,14,23,450,20,0,32
3-03704-0029,2009,EAST NEW YORK,C6-WALK-UP,16,1920,15400,141526,9.19,NA,NA,NA,467000,30.3,3-03709-0032,BROWNSVILLE,C7-WALK-UP,27,1905,23300,227807,9.78,NA,NA,NA,770000,33,0.55,3-03771-0033,EAST NEW YORK,C1-WALK-UP,16,1930,17600,219396,12.47,NA,NA,NA,825000,46.9,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3704,29,3,11207,16,0,4,19,0,0,1,0
3-03704-0029,2010,EAST NEW YORK,C6-WALK-UP,16,1920,15400,145772,9.47,NA,NA,NA,341000,22.14,3-03709-0032,BROWNSVILLE,C7-WALK-UP,27,1905,23300,234035,10.04,NA,NA,NA,668000,28.7,0.55,3-03771-0033,EAST NEW YORK,C1-WALK-UP,16,1930,17600,221156,12.57,NA,NA,NA,763000,43.4,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3704,29,3,11207,16,0,4,19,0,0,1,0
3-03704-0029,2011,EAST NEW YORK,C6-WALK-UP,16,1920,15400,150145,9.75,NA,NA,NA,318000,20.65,3-03709-0032,BROWNSVILLE,C7-WALK-UP,27,1905,23300,272178,11.68,NA,NA,NA,765000,32.8,0.55,3-03771-0033,EAST NEW YORK,C1-WALK-UP,16,1930,17600,236003,13.41,NA,NA,NA,735000,41.8,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3704,29,3,11207,16,0,4,19,0,0,1,0
3-03704-0029,2012,EAST NEW YORK,C6-WALK-UP,16,1920,15400,149380,9.7,82390,5.35,66990,397000,25.78,3-03776-0001,EAST NEW YORK,C1-WALK-UP,20,1930,17792,172647,9.7,95263,5.35,77384,458000,25.74,0.41,3-03933-0051,CYPRESS HILLS,C1-WALK-UP,16,1930,12950,123867,9.57,63024,4.87,60843,361000,27.88,0.42,3-03792-0001,"{""address"":""733 DUMONT AVENUE"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",EAST NEW YORK,C7-WALK-UP,16,1930,18,180,10.04,100,5.57,80,458,25.44,0.5,3704,29,3,11207,16,0,4,19,0,0,1,0
3-04329-0001,2009,EAST NEW YORK,C6-WALK-UP,42,1930,38720,310922,8.03,NA,NA,NA,878000,22.68,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,359607,15.98,NA,NA,NA,1460000,65,6,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,127812,16.83,NA,NA,NA,520000,68,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4329,1,3,11207,38,9680,4,19,2150,7,21,0
3-04329-0001,2010,EAST NEW YORK,C6-WALK-UP,42,1930,38720,329860,8.52,NA,NA,NA,772000,19.94,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,382764,17.01,NA,NA,NA,1520000,68,6,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,135817,17.88,NA,NA,NA,538000,71,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4329,1,3,11207,38,9680,4,19,2150,7,21,0
3-04329-0001,2011,EAST NEW YORK,C6-WALK-UP,42,1930,38720,366145,9.46,NA,NA,NA,871000,22.49,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,406134,18.05,NA,NA,NA,1520000,68,6,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,157756,20.77,NA,NA,NA,590000,78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4329,1,3,11207,38,9680,4,19,2150,7,21,0
3-04905-0001,2009,FLATBUSH-EAST,D4-ELEVATOR,129,1956,114346,960506,8.4,NA,NA,NA,3170000,27.7,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,179675,12.15,NA,NA,NA,507000,34.3,2.95,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,179675,12.15,NA,NA,NA,507000,34.3,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4905,1,3,11203,129,0,6,17,700,12,11,20
3-04905-0001,2010,FLATBUSH-EAST,D4-ELEVATOR,129,1956,114346,989321,8.65,NA,NA,NA,2550000,22.3,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,178346,12.06,NA,NA,NA,418000,28.3,2.95,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,178346,12.06,NA,NA,NA,418000,28.3,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4905,1,3,11203,129,0,6,17,700,12,11,20
3-04905-0001,2011,FLATBUSH-EAST,D4-ELEVATOR,129,1956,114346,1019001,8.91,NA,NA,NA,2160000,18.89,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,187372,12.67,NA,NA,NA,397000,26.9,2.95,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,187372,12.67,NA,NA,NA,397000,26.9,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4905,1,3,11203,129,0,6,17,700,12,11,20
3-04905-0001,2012,FLATBUSH-EAST,D4-ELEVATOR,129,1956,114346,1126308,9.85,723810,6.33,402498,2376000,20.78,3-04885-0054,FLATBUSH-EAST,D1-ELEVATOR,41,1931,44400,353491,7.96,212786,4.79,140705,830000,18.69,0.21,3-05139-0035,FLATBUSH-CENTRAL,D1-ELEVATOR,48,1941,46980,486382,10.35,293068,6.24,193314,1203000,25.61,0.33,NA,NA, , ,0,0,0,0,0,0,0,0,0,0,0,4905,1,3,11203,129,0,6,17,700,12,11,20
3-04906-0001,2009,FLATBUSH-EAST,D4-ELEVATOR,126,1957,115900,973560,8.4,NA,NA,NA,3210000,27.7,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,179675,12.15,NA,NA,NA,507000,34.3,2.9,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,179675,12.15,NA,NA,NA,507000,34.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4906,1,3,11203,126,0,6,17,500,18,11,11
3-04906-0001,2010,FLATBUSH-EAST,D4-ELEVATOR,126,1957,115900,1002767,8.65,NA,NA,NA,2590000,22.35,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,178346,12.06,NA,NA,NA,418000,28.3,2.9,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,178346,12.06,NA,NA,NA,418000,28.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4906,1,3,11203,126,0,6,17,500,18,11,11
3-04906-0001,2011,FLATBUSH-EAST,D4-ELEVATOR,126,1957,115900,1032850,8.91,NA,NA,NA,2190000,18.9,3-03806-0017,EAST NEW YORK,C1-WALK-UP,16,1930,14784,187372,12.67,NA,NA,NA,397000,26.9,2.9,3-03806-0019,EAST NEW YORK,C1-WALK-UP,16,1930,14784,187372,12.67,NA,NA,NA,397000,26.9,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4906,1,3,11203,126,0,6,17,500,18,11,11
3-04906-0001,2012,FLATBUSH-EAST,D4-ELEVATOR,126,1957,115900,1091778,9.42,629337,5.43,462441,2409000,20.79,3-04933-0001,FLATBUSH-EAST,D1-ELEVATOR,59,1929,51840,491594,9.48,261345,5.04,230249,1331000,25.68,0.24,3-04853-0093,FLATBUSH-NORTH,D1-ELEVATOR,101,1930,135714,1070881,7.89,546594,4.03,524287,3095000,22.81,0.44,NA,NA, , ,0,0,0,0,0,0,0,0,0,0,0,4906,1,3,11203,126,0,6,17,500,18,11,11
3-05218-0026,2009,FLATBUSH-CENTRAL,D4-ELEVATOR,54,1931,60282,407619,6.76,NA,NA,NA,1250000,20.74,3-05212-0043,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,16000,157839,9.86,NA,NA,NA,446000,27.9,0.45,3-05213-0062,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,13400,142539,10.64,NA,NA,NA,482000,36,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218,26,3,11226,54,0,6,22,125,8,0,9
3-05218-0026,2010,FLATBUSH-CENTRAL,D4-ELEVATOR,54,1931,60282,419848,6.96,NA,NA,NA,983000,16.31,3-05212-0043,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,16000,162574,10.16,NA,NA,NA,381000,23.81,0.45,3-05213-0062,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,13400,132358,9.88,NA,NA,NA,378000,28.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218,26,3,11226,54,0,6,22,125,8,0,9
3-05218-0026,2011,FLATBUSH-CENTRAL,D4-ELEVATOR,54,1931,60282,432443,7.17,NA,NA,NA,917000,15.21,3-05212-0043,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,16000,167451,10.47,NA,NA,NA,355000,22.19,0.45,3-05213-0062,FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,13400,136329,10.17,NA,NA,NA,324000,24.18,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218,26,3,11226,54,0,6,22,125,8,0,9
3-05218-0026,2012,FLATBUSH-CENTRAL,D4-ELEVATOR,54,1931,60282,424310,7.04,241859,4.01,182451,1009000,16.74,3-05219-0008,FLATBUSH-CENTRAL,D1-ELEVATOR,32,1931,49491,514738,10.4,257913,5.21,256825,1298000,26.23,0.06,3-05219-0016,FLATBUSH-CENTRAL,D1-ELEVATOR,61,1941,57624,626949,10.88,406249,7.05,220700,1364000,23.67,0.06,3-05219-0029,"{""address"":""1060 OCEAN AVENUE"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",FLATBUSH-CENTRAL,D1-ELEVATOR,71,1931,75,818,10.88,529,7.05,288,1,23.73,0.06,5218,26,3,11226,54,0,6,22,125,8,0,9
3-05248-0012,2009,FLATBUSH-CENTRAL,D4-ELEVATOR,73,1955,87027,575248,6.61,NA,NA,NA,1770000,20.34,3-05240-0001,FLATBUSH-CENTRAL,C1-WALK-UP,59,1917,57600,447947,7.78,NA,NA,NA,1380000,23.96,0.4,3-05240-0110,FLATBUSH-CENTRAL,C1-WALK-UP,35,1931,37500,310733,8.29,NA,NA,NA,1020000,27.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248,12,3,11210,73,8500,6,22,40450,18,3,18
3-05248-0012,2010,FLATBUSH-CENTRAL,D4-ELEVATOR,73,1955,87027,592505,6.81,NA,NA,NA,1390000,15.97,3-05240-0001,FLATBUSH-CENTRAL,C1-WALK-UP,59,1917,57600,524018,9.1,NA,NA,NA,1490000,25.9,0.4,3-05240-0110,FLATBUSH-CENTRAL,C1-WALK-UP,35,1931,37500,327598,8.74,NA,NA,NA,845000,22.53,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248,12,3,11210,73,8500,6,22,40450,18,3,18
3-05248-0012,2011,FLATBUSH-CENTRAL,D4-ELEVATOR,73,1955,87027,610280,7.01,NA,NA,NA,1290000,14.82,3-05240-0001,FLATBUSH-CENTRAL,C1-WALK-UP,59,1917,57600,555076,9.64,NA,NA,NA,1320000,22.92,0.4,3-05240-0110,FLATBUSH-CENTRAL,C1-WALK-UP,35,1931,37500,356364,9.5,NA,NA,NA,847000,22.59,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248,12,3,11210,73,8500,6,22,40450,18,3,18
3-05248-0012,2012,FLATBUSH-CENTRAL,D4-ELEVATOR,73,1955,87027,522403,6,322208,3.7,200195,1191000,13.69,3-07554-0056,MIDWOOD,D1-ELEVATOR,71,1927,77047,807415,10.48,502321,6.52,305094,1896000,24.61,0.12,3-07554-0048,MIDWOOD,D1-ELEVATOR,59,1931,69782,635013,9.1,408717,5.86,226296,1347000,19.3,0.12,3-05251-0038,"{""address"":""616 29 STREET"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",FLATBUSH-CENTRAL,D1-ELEVATOR,54,1931,62,543,8.72,331,5.32,211,1,20.12,0.11,5248,12,3,11210,73,8500,6,22,40450,18,3,18
3-05328-0032,2009,KENSINGTON,D4-ELEVATOR,55,1956,58200,703056,12.08,NA,NA,NA,2480000,42.6,3-05324-0001,KENSINGTON,D1-ELEVATOR,268,1960,245202,3263686,13.31,NA,NA,NA,12300000,50,0.2,3-05325-0065,KENSINGTON,D1-ELEVATOR,48,1937,49800,316318,6.35,NA,NA,NA,971000,19.5,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5328,32,3,11218,55,0,6,15,0,3,0,2
3-05328-0032,2010,KENSINGTON,D4-ELEVATOR,55,1956,58200,724147,12.44,NA,NA,NA,2500000,43,3-05324-0001,KENSINGTON,D1-ELEVATOR,268,1960,245202,3372929,13.76,NA,NA,NA,12300000,50,0.2,3-05325-0065,KENSINGTON,D1-ELEVATOR,48,1937,49800,333089,6.69,NA,NA,NA,780000,15.66,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5328,32,3,11218,55,0,6,15,0,3,0,2
3-05328-0032,2011,KENSINGTON,D4-ELEVATOR,55,1956,58200,745871,12.82,NA,NA,NA,2320000,39.9,3-05324-0001,KENSINGTON,D1-ELEVATOR,268,1960,245202,3474118,14.17,NA,NA,NA,10800000,44,0.2,3-05325-0065,KENSINGTON,D1-ELEVATOR,48,1937,49800,347984,6.99,NA,NA,NA,738000,14.82,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5328,32,3,11218,55,0,6,15,0,3,0,2
3-05328-0032,2012,KENSINGTON,D4-ELEVATOR,55,1956,58200,639036,10.98,295074,5.07,343962,2126000,36.53,3-05328-0037,KENSINGTON,D1-ELEVATOR,96,1928,94050,1097808,11.67,531071,5.65,566737,3036000,32.28,0,3-05358-0086,OCEAN PARKWAY-NORTH,D1-ELEVATOR,49,1941,56100,577000,10.29,329190,5.87,247810,1485000,26.47,0.34,NA,NA, , ,0,0,0,0,0,0,0,0,0,0,0,5328,32,3,11218,55,0,6,15,0,3,0,2
3-05357-0030,2009,OCEAN PARKWAY-NORTH,D4-ELEVATOR,94,1941,106500,733785,6.89,NA,NA,NA,2250000,21.13,3-05360-0082,OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,125359,11.4,NA,NA,NA,442000,40.2,0.2,3-05362-0002,BOROUGH PARK,C1-WALK-UP,12,1930,12800,130560,10.2,NA,NA,NA,441000,34.5,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5357,30,3,11218,94,0,6,20,2045,4,0,6
3-05357-0030,2010,OCEAN PARKWAY-NORTH,D4-ELEVATOR,94,1941,106500,755799,7.1,NA,NA,NA,1770000,16.62,3-05360-0082,OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,102000,9.27,NA,NA,NA,291000,26.5,0.2,3-05362-0002,BOROUGH PARK,C1-WALK-UP,12,1930,12800,134476,10.51,NA,NA,NA,418000,32.7,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5357,30,3,11218,94,0,6,20,2045,4,0,6
3-05357-0030,2011,OCEAN PARKWAY-NORTH,D4-ELEVATOR,94,1941,106500,778473,7.31,NA,NA,NA,1650000,15.49,3-05360-0082,OCEAN PARKWAY-NORTH,C1-WALK-UP,16,1930,11000,107491,9.77,NA,NA,NA,256000,23.27,0.2,3-05362-0002,BOROUGH PARK,C1-WALK-UP,12,1930,12800,138510,10.82,NA,NA,NA,359000,28,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5357,30,3,11218,94,0,6,20,2045,4,0,6
3-05357-0030,2012,OCEAN PARKWAY-NORTH,D4-ELEVATOR,94,1941,106500,1041570,9.78,598530,5.62,443040,1815000,17.04,3-05357-0040,OCEAN PARKWAY-NORTH,D1-ELEVATOR,48,1929,52524,452189,8.61,227084,4.32,225105,1346000,25.63,0,3-05358-0086,OCEAN PARKWAY-NORTH,D1-ELEVATOR,49,1941,56100,577000,10.29,329190,5.87,247810,1485000,26.47,0.09,3-05374-0034,"{""address"":""390 OCEAN PARKWAY"",""city"":""Brooklyn"",""state"":""NY"",""zip"":""""}",OCEAN PARKWAY-NORTH,D1-ELEVATOR,41,1937,42,410,9.78,236,5.62,174,1,24.62,0.17,5357,30,3,11218,94,0,6,20,2045,4,0,6
3-05440-0010,2009,BOROUGH PARK,C6-WALK-UP,30,1931,34580,317790,9.19,NA,NA,NA,897000,25.9,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,359607,15.98,NA,NA,NA,1460000,65,0.85,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,127812,16.83,NA,NA,NA,520000,68,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,10,3,11204,30,0,4,20,2476,3,5,0
3-05440-0010,2010,BOROUGH PARK,C6-WALK-UP,30,1931,34580,327325,9.47,NA,NA,NA,766000,22.15,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,382764,17.01,NA,NA,NA,1520000,68,0.85,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,135817,17.88,NA,NA,NA,538000,71,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,10,3,11204,30,0,4,20,2476,3,5,0
3-05440-0010,2011,BOROUGH PARK,C6-WALK-UP,30,1931,34580,360060,10.41,NA,NA,NA,933000,27,3-05670-0047,BOROUGH PARK,C7-WALK-UP,11,1916,22500,406134,18.05,NA,NA,NA,1520000,68,0.85,3-05024-0063,FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,16,1931,7596,157756,20.77,NA,NA,NA,590000,78,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5440,10,3,11204,30,0,4,20,2476,3,5,0
